"age";"percent";"group"
7;0,00147279984159219;"lihie_90"
8;0,000327288853687154;"lihie_90"
9;0,00180008869527935;"lihie_90"
10;0,00441839952477658;"lihie_90"
11;0,0132551985743298;"lihie_90"
12;0,0247103084533802;"lihie_90"
13;0,113569232229443;"lihie_90"
14;0,427602887342267;"lihie_90"
15;0,608102690150733;"lihie_90"
16;0,652613974252186;"lihie_90"
17;0,947010298143781;"lihie_90"
18;1,32470163529876;"lihie_90"
19;1,59586045057856;"lihie_90"
20;1,97273356559932;"lihie_90"
21;2,59998265369075;"lihie_90"
22;3,35552897242755;"lihie_90"
23;4,23299038916281;"lihie_90"
24;4,78136286351564;"lihie_90"
25;5,58600251030551;"lihie_90"
26;6,34269434003021;"lihie_90"
27;7,16533487377287;"lihie_90"
28;6,88255730418717;"lihie_90"
29;6,57490578172125;"lihie_90"
30;6,19966911096892;"lihie_90"
31;5,43675879302417;"lihie_90"
32;4,47992982926977;"lihie_90"
33;3,78034990451348;"lihie_90"
34;3,2701065816152;"lihie_90"
35;2,70471508687064;"lihie_90"
36;2,16239745631103;"lihie_90"
37;1,88420193067695;"lihie_90"
38;1,58947831793167;"lihie_90"
39;1,3451571886542;"lihie_90"
40;1,17431240702951;"lihie_90"
41;1,00510406967325;"lihie_90"
42;0,897589681237021;"lihie_90"
43;0,779111116202271;"lihie_90"
44;0,680924460096125;"lihie_90"
45;0,600411402089085;"lihie_90"
46;0,51417078914252;"lihie_90"
47;0,468023060772631;"lihie_90"
48;0,394219424266177;"lihie_90"
49;0,329088942382434;"lihie_90"
50;0,294723612745283;"lihie_90"
51;0,270504237572433;"lihie_90"
52;0,236138907935282;"lihie_90"
53;0,232047797264192;"lihie_90"
54;0,195391445651231;"lihie_90"
55;0,196864245492823;"lihie_90"
56;0,180663447235309;"lihie_90"
57;0,166917315380449;"lihie_90"
58;0,144170740049192;"lihie_90"
59;0,115696609778409;"lihie_90"
60;0,107187099582543;"lihie_90"
61;0,0854223908123473;"lihie_90"
62;0,0808403468607271;"lihie_90"
63;0,0649668374569002;"lihie_90"
64;0,0541663052852241;"lihie_90"
65;0,0438567063940787;"lihie_90"
66;0,0364927071861177;"lihie_90"
67;0,048766039199386;"lihie_90"
68;0,0356744850518998;"lihie_90"
69;0,0252012417339109;"lihie_90"
70;0,0193100423675421;"lihie_90"
71;0,0183281758064806;"lihie_90"
72;0,0886952793492188;"lihie_90"
73;0,0235647974654751;"lihie_90"
74;0,0130915541474862;"lihie_90"
75;0,0119460431595811;"lihie_90"
12;0,0314564328405159;"yeltsin"
13;0,314564328405159;"yeltsin"
14;1,44699591066373;"yeltsin"
15;5,28468071720667;"yeltsin"
16;9,02799622522806;"yeltsin"
17;10,1918842403271;"yeltsin"
18;12,9600503302925;"yeltsin"
19;10,4435357030513;"yeltsin"
20;8,96508335954703;"yeltsin"
21;6,38565586662472;"yeltsin"
22;4,5611827618748;"yeltsin"
23;4,27807486631016;"yeltsin"
24;2,86253538848695;"yeltsin"
25;2,20195029883611;"yeltsin"
26;1,79301667190941;"yeltsin"
27;2,1704938659956;"yeltsin"
28;1,41553947782321;"yeltsin"
29;1,91884240327147;"yeltsin"
30;0,754954388172381;"yeltsin"
31;0,943692985215477;"yeltsin"
32;0,471846492607738;"yeltsin"
33;0,53475935828877;"yeltsin"
34;0,503302925448254;"yeltsin"
35;0,377477194086191;"yeltsin"
36;0,283107895564643;"yeltsin"
37;0,314564328405159;"yeltsin"
38;0,314564328405159;"yeltsin"
39;0,283107895564643;"yeltsin"
40;0,314564328405159;"yeltsin"
41;0,220195029883611;"yeltsin"
42;0,157282164202579;"yeltsin"
43;0,188738597043095;"yeltsin"
44;0,125825731362064;"yeltsin"
45;0,0629128656810318;"yeltsin"
46;0,0314564328405159;"yeltsin"
47;0,220195029883611;"yeltsin"
48;0,0629128656810318;"yeltsin"
49;0,0629128656810318;"yeltsin"
50;0,0314564328405159;"yeltsin"
51;0,125825731362064;"yeltsin"
52;0,0629128656810318;"yeltsin"
53;0,0314564328405159;"yeltsin"
54;0,0629128656810318;"yeltsin"
55;0,0943692985215477;"yeltsin"
56;0,0314564328405159;"yeltsin"
57;0,0629128656810318;"yeltsin"
59;0,0943692985215477;"yeltsin"
63;0,125825731362064;"yeltsin"
64;0,0629128656810318;"yeltsin"
65;0,0314564328405159;"yeltsin"
66;0,0314564328405159;"yeltsin"
67;0,0629128656810318;"yeltsin"
68;0,0314564328405159;"yeltsin"
69;0,220195029883611;"yeltsin"
70;0,0629128656810318;"yeltsin"
71;0,157282164202579;"yeltsin"
72;0,188738597043095;"yeltsin"
74;0,0629128656810318;"yeltsin"
8;0,00104781164537863;"zastoy"
9;0,00104781164537863;"zastoy"
10;0,00209562329075725;"zastoy"
11;0,00733468151765039;"zastoy"
12;0,00733468151765039;"zastoy"
13;0,0932552364386978;"zastoy"
14;0,309104435386695;"zastoy"
15;0,308056623741316;"zastoy"
16;0,257761664763142;"zastoy"
17;0,29024382576988;"zastoy"
18;0,329012856648889;"zastoy"
19;0,316439116904345;"zastoy"
20;0,316439116904345;"zastoy"
21;0,37406875740017;"zastoy"
22;0,437985267768266;"zastoy"
23;0,556387983696051;"zastoy"
24;0,605635131028846;"zastoy"
25;0,78585873403397;"zastoy"
26;0,994373251464317;"zastoy"
27;1,22593962509299;"zastoy"
28;1,4459800706225;"zastoy"
29;1,63877741337217;"zastoy"
30;1,72679359158398;"zastoy"
31;1,78756666701594;"zastoy"
32;1,66811613944277;"zastoy"
33;1,68907237235035;"zastoy"
34;2,15430074289846;"zastoy"
35;2,62686379496422;"zastoy"
36;2,58809476408521;"zastoy"
37;2,79137022328866;"zastoy"
38;2,73583620608359;"zastoy"
39;2,58076008256756;"zastoy"
40;2,57761664763142;"zastoy"
41;2,44349675702296;"zastoy"
42;2,37853243500948;"zastoy"
43;2,39948866791706;"zastoy"
44;2,31566373628677;"zastoy"
45;2,5933338223121;"zastoy"
46;3,23669017257458;"zastoy"
47;3,06484906273248;"zastoy"
48;3,1423871244905;"zastoy"
49;3,07008812095938;"zastoy"
50;2,81442207948699;"zastoy"
51;3,05332313463332;"zastoy"
52;2,75679243899117;"zastoy"
53;2,73269277114746;"zastoy"
54;2,63315066483649;"zastoy"
55;2,69601936355921;"zastoy"
56;3,18534740195103;"zastoy"
57;3,18220396701489;"zastoy"
58;2,56085166130536;"zastoy"
59;2,28737282186154;"zastoy"
60;2,03065896874378;"zastoy"
61;1,8483397424479;"zastoy"
62;1,70374173538565;"zastoy"
63;1,49103597137379;"zastoy"
64;1,16726217295179;"zastoy"
65;0,96922577197523;"zastoy"
66;0,697842555822165;"zastoy"
67;0,601443884447332;"zastoy"
68;0,326917233358131;"zastoy"
69;0,191749531104289;"zastoy"
70;0,121546150863921;"zastoy"
71;0,0639165103680962;"zastoy"
72;0,0513427706235527;"zastoy"
73;0,0188606096168153;"zastoy"
74;0,016764986326058;"zastoy"
75;0,0125737397445435;"zastoy"
7;0,000561449212707841;"nostalgie_90"
8;0,000280724606353921;"nostalgie_90"
9;0,00168434763812352;"nostalgie_90"
10;0,00449159370166273;"nostalgie_90"
11;0,0137555057113421;"nostalgie_90"
12;0,0162820271685274;"nostalgie_90"
13;0,102183756712827;"nostalgie_90"
14;0,371117929599883;"nostalgie_90"
15;0,443264153432841;"nostalgie_90"
16;0,475266758557188;"nostalgie_90"
17;0,672896881430348;"nostalgie_90"
18;0,925549027148877;"nostalgie_90"
19;1,05692814292251;"nostalgie_90"
20;1,28880666777085;"nostalgie_90"
21;1,83706182398006;"nostalgie_90"
22;2,58603507373232;"nostalgie_90"
23;3,44589454299438;"nostalgie_90"
24;4,17914721479082;"nostalgie_90"
25;5,38485939908091;"nostalgie_90"
26;6,26577321381951;"nostalgie_90"
27;7,24522136538834;"nostalgie_90"
28;7,14163398564374;"nostalgie_90"
29;6,86006720547076;"nostalgie_90"
30;6,56474491958644;"nostalgie_90"
31;5,77225935584932;"nostalgie_90"
32;4,76670381588957;"nostalgie_90"
33;4,04861027283625;"nostalgie_90"
34;3,54302525679283;"nostalgie_90"
35;3,09077791595667;"nostalgie_90"
36;2,47935972331783;"nostalgie_90"
37;2,13491063132157;"nostalgie_90"
38;1,80786646491925;"nostalgie_90"
39;1,50692968690785;"nostalgie_90"
40;1,35730347172121;"nostalgie_90"
41;1,14928653841295;"nostalgie_90"
42;1,04401481103023;"nostalgie_90"
43;0,897757291119839;"nostalgie_90"
44;0,787151796216394;"nostalgie_90"
45;0,674019779855764;"nostalgie_90"
46;0,66447514323973;"nostalgie_90"
47;0,590363847162295;"nostalgie_90"
48;0,496601828640086;"nostalgie_90"
49;0,43035082154056;"nostalgie_90"
50;0,394979521139966;"nostalgie_90"
51;0,365784162079159;"nostalgie_90"
52;0,306270545532128;"nostalgie_90"
53;0,313007936084622;"nostalgie_90"
54;0,282408953992044;"nostalgie_90"
55;0,288304170725477;"nostalgie_90"
56;0,263881129972685;"nostalgie_90"
57;0,231597800241985;"nostalgie_90"
58;0,211666353190856;"nostalgie_90"
59;0,18976983389525;"nostalgie_90"
60;0,163381720897982;"nostalgie_90"
61;0,137555057113421;"nostalgie_90"
62;0,112851291754276;"nostalgie_90"
63;0,103868104350951;"nostalgie_90"
64;0,0805679620235752;"nostalgie_90"
65;0,0693389777694184;"nostalgie_90"
66;0,0589521673343234;"nostalgie_90"
67;0,0648473840677557;"nostalgie_90"
68;0,0485653568992283;"nostalgie_90"
69;0,0409857925276724;"nostalgie_90"
70;0,0218965192956058;"nostalgie_90"
71;0,0314411559116391;"nostalgie_90"
72;0,0687775285567106;"nostalgie_90"
73;0,0241423161464372;"nostalgie_90"
74;0,0101060858287411;"nostalgie_90"
75;0,0129133318922804;"nostalgie_90"
